Question,AnswerID
how are you,1
how is it going,1
how's it going,1
how have you been,1
how'd you been,1
how are you doing,1
how are you feeling,1
are you doing well,1
what is the weather,2
what is the weather today,2
what is the weather like today,2
how is the weather,2
how is the weather today,2
is it cold today,2
is it warm today,2
thanks,3
thank you,3
thankyou,3
thank you so much,3
thanks so much,3
thanks for the help,3
thank you for the help,3
you are so helpful,3
you are welcome,3
you're welcome,3